x,y,p
33.0185039,-80.1756481,46074
41.2459149,-75.8813075,41108
40.2731911,-76.8867008,49188
38.3498195,-81.6326234,50821
35.732652,-78.8502856,42214
27.4989278,-82.5748194,51763
42.5083482,-89.0317765,36888
32.9545687,-97.0150078,40342
41.4819932,-81.7981908,51143
40.0992294,-83.1140771,43607
38.5815719,-121.4943996,479686
39.8366528,-105.0372046,110945
33.1580933,-117.3505939,110972
33.9304352,-84.3733147,99770
39.5807452,-104.8771726,106114
34.1975048,-119.1770516,203007
37.5407246,-77.4360481,214114
45.5228939,-122.989827,97368
41.5236437,-90.5776367,102157
31.8456816,-102.3676431,110720
42.0883603,-87.9806265,75994
40.3356483,-75.9268747,87893
37.4946568,-120.8465941,70365
35.3859242,-94.3985475,87650
40.1164204,-88.2433829,83424
35.8422967,-90.704279,71551
44.2619309,-88.4153847,73596
40.8584328,-74.1637553,85390
33.7475203,-116.9719684,81750
42.4999942,-96.4003069,82459
36.06523,-119.0167679,55174
34.2163937,-119.0376023,66086
33.0369867,-117.2919818,61588
35.7688425,-119.2470536,52403
45.5579451,-94.1632404,66297
40.1053196,-85.6802541,55670
26.1906306,-97.6961026,65665
39.0228485,-94.7151865,64323
35.3395079,-97.4867028,58414
40.486427,-86.1336033,56895
41.8137116,-71.3700545,47149
33.7839084,-116.958635,45851
36.1156071,-97.0583681,47186
26.1723065,-80.1319893,43286
39.613321,-105.0166498,44275
34.6391501,-120.4579409,43509
38.0608445,-97.9297743,41889
29.383845,-94.9027002,46081
41.6266555,-93.7121656,41776
41.6661573,-81.339552,46979
33.9294606,-116.977248,40481
34.5400242,-112.4685025,40590
43.2341813,-86.2483921,37213
28.2489016,-81.2811801,40918
40.114955,-111.654923,36956
32.5920798,-96.7561082,38071
32.436381,-111.2224422,38290
35.9556923,-80.0053176,107741
42.0834335,-71.0183787,94089
37.6818745,-121.7680088,85156
38.2493581,-122.0399663,109320
34.1064001,-117.3703235,101910
26.1275862,-80.2331036,90268
46.8771863,-96.7898034,113658
33.4355977,-112.3496021,78822
33.4353394,-112.3576567,72864
26.3683064,-80.1289321,89407
33.9816812,-118.2250725,58879
44.8546856,-93.470786,62603
39.0169509,-94.2816148,53294
43.0166806,-88.0070315,60697
40.9125992,-73.8370786,68224
41.5931049,-81.5267873,48139
40.7989473,-81.378447,72535
33.8651033,-84.3365917,50603
40.6639916,-74.2107006,127558
39.8680412,-104.9719243,127359
39.768403,-86.158068,843393
40.9167654,-74.171811,145948
61.2180556,-149.9002778,300950
33.5805955,-112.2373779,162592
40.6936488,-89.5889864,116513
33.2148412,-97.1330683,123099
44.9428975,-123.0350963,160614
34.274646,-119.2290316,108817
38.8338816,-104.8213634,439886
32.7764749,-79.9310512,127999
34.6867846,-118.1541632,159523
30.4382559,-84.2807329,186411
30.2240897,-92.0198427,124276
43.6187102,-116.2146068,214237
33.4255104,-111.9400054,168228
41.2523634,-95.9979883,434353
41.6612104,-72.7795419,72939
26.5317866,-80.0905465,71097
30.627977,-96.3344068,100050
39.7390721,-75.5397878,71525
40.5865396,-122.3916754,91119
40.4233142,-104.7091322,96539
40.8567662,-74.1284764,70868
42.9133602,-85.7053085,74100
29.6196787,-95.6349463,83860
30.6743643,-96.3699632,78709
30.4393696,-97.6200043,53752
41.5772115,-93.711332,61255
37.7021521,-121.9357918,52105
40.7439905,-74.0323626,52575
28.2919557,-81.407571,65173
30.421309,-87.2169149,52703
41.6819935,-85.9766671,51265
30.3118769,-95.4560512,63032
41.452819,-82.1823746,63710
33.4150485,-111.5495777,37130
37.2295733,-80.4139393,43609
42.4972583,-82.9371409,47555
