x,y
47.64172,-122.21404
47.64159,-122.21446
47.64132,-122.21531
47.64112,-122.21599
47.64089,-122.21673
47.64086,-122.21683
47.64085,-122.21686
47.64083,-122.21691
47.64082,-122.21695
47.64069,-122.21734
47.64037,-122.21835
47.64015,-122.21896
47.64,-122.21937
47.63981,-122.21979
47.6396,-122.22023
47.63916,-122.22102
47.63891,-122.22142
47.63761,-122.22325
47.63734,-122.22366
47.63714,-122.22398
47.63702,-122.22421
47.63692,-122.22443
47.63677,-122.22477
47.63663,-122.22513
47.63654,-122.2254
47.63643,-122.22573
47.63633,-122.22612
47.63625,-122.22645
47.6362,-122.22667
47.63609,-122.22719
47.63604,-122.2275
47.636,-122.2279
47.63597,-122.2285
47.63597,-122.22858
47.63596,-122.22885
47.63597,-122.22914
47.63598,-122.22947
47.63601,-122.22988
47.63605,-122.23022
47.63606,-122.23036
47.6361,-122.23064
47.63615,-122.23099
47.63623,-122.23162
47.63657,-122.23351
47.63664,-122.23389
47.63676,-122.23457
47.63688,-122.23525
47.63695,-122.23564
47.63721,-122.23706
47.63736,-122.23782
47.63751,-122.23858
47.63758,-122.23885
47.63765,-122.23913
47.63791,-122.2404
47.63818,-122.24167
47.63835,-122.24255
47.64242,-122.26905
47.64261,-122.27031
47.6428,-122.27157
47.64295,-122.2726
47.64304,-122.27309
47.64327,-122.27445
47.64332,-122.27468
47.64391,-122.27768
47.64395,-122.27785
47.64429,-122.27963
47.64434,-122.27991
47.64439,-122.28016
47.64443,-122.28046
47.64447,-122.28077
47.64451,-122.28109
47.64455,-122.2815
47.64473,-122.28429
47.64485,-122.28665
47.64497,-122.28901
47.64497,-122.28901
47.64502,-122.28918
47.64504,-122.28943
47.64514,-122.29036
47.64535,-122.29263
47.64544,-122.29382
47.64549,-122.29484
47.64547,-122.29606
47.64538,-122.29736
47.6453,-122.29847
47.6453,-122.29847
47.64522,-122.29895
47.64521,-122.29912
47.64498,-122.30105
47.64493,-122.30169
47.64486,-122.30229
47.6447,-122.30339
47.64468,-122.30362
47.64467,-122.30383
47.64467,-122.30399
47.64468,-122.30417
47.64469,-122.30426
47.64471,-122.30434
47.64472,-122.30437
47.64479,-122.30447
47.64479,-122.30447
47.64535,-122.30448
47.64556,-122.30448
47.64609,-122.30451
47.64632,-122.30452
47.6464,-122.30453
47.64661,-122.30456
47.64671,-122.30458
47.64673,-122.30458
47.64681,-122.30464
47.64689,-122.30463
47.64696,-122.30463
47.64728,-122.30462
47.64761,-122.30461
47.6477,-122.30461
47.6478,-122.30456
47.64783,-122.30456
47.64788,-122.30456
47.64794,-122.30456
47.64798,-122.30455
47.64804,-122.30455
47.64814,-122.30455
47.64835,-122.30455
47.64871,-122.30455
47.6489,-122.30455
47.64901,-122.30453
47.64901,-122.30453
47.64901,-122.30466
47.64914,-122.30483
47.64931,-122.30513
47.64939,-122.30531
47.6495,-122.30552
47.64958,-122.30567
47.64962,-122.30575
47.64974,-122.30598
47.64978,-122.30608
47.64984,-122.30619
47.65008,-122.30671
47.65024,-122.30702
47.65047,-122.30748
47.65061,-122.30772
47.6509,-122.3083
47.65114,-122.30882
47.65115,-122.30884
47.65119,-122.30893
47.65136,-122.30928
47.65163,-122.30982
47.65166,-122.30987
47.65171,-122.30998
47.65187,-122.3103
47.65204,-122.31063
47.65213,-122.31083
47.65257,-122.31171
47.65272,-122.31199
47.65298,-122.31249
47.65298,-122.31249
47.65311,-122.31234
47.65315,-122.3123
47.65317,-122.31228
47.6532,-122.31225
47.65322,-122.31224
47.65328,-122.3122
47.6533,-122.31219
47.65333,-122.31218
47.65336,-122.31217
47.65339,-122.31216
47.65342,-122.31216
47.65345,-122.31215
47.65372,-122.31215
47.65389,-122.31214
47.6542,-122.31214
47.65451,-122.31213
47.65495,-122.31213
47.65533,-122.31211
47.65533,-122.31211
47.65534,-122.31195
47.65534,-122.31193
47.65534,-122.31181
47.65533,-122.31172
47.65532,-122.31167
47.65531,-122.31162
47.65529,-122.31156
47.65526,-122.31147
47.65517,-122.3113
47.65514,-122.31123
47.65511,-122.31114
47.6551,-122.31113
47.65507,-122.31102
47.65505,-122.31095
47.65504,-122.31093
47.65503,-122.31084
47.65501,-122.31071
47.65498,-122.31038
47.65498,-122.31038
47.65462,-122.3104
47.65426,-122.31041
